date,adj close,close,high,low,open,volume,ma_7,ma_30,ma_90,daily_return,volatility_7,volatility_30,rsi,macd,macd_signal,bb_upper,bb_lower
7/23/2021,1801.400024,1801.400024,1801.400024,1800,1800,1,1810.25715,1802.566679,1801.725562,-0.001994446,0.003577172,0.009686028,45.88520313,-3.135346157,-5.159288642,1833.178002,1763.212013
7/26/2021,1798.699951,1798.699951,1802.5,1797.199951,1802.5,17,1806.014282,1799.943343,1802.524449,-0.001498875,0.003122497,0.009588978,44.70069614,-3.512747782,-4.82998047,1832.851574,1765.748438
7/27/2021,1799.5,1799.5,1803.699951,1799.5,1803.699951,1,1803.871425,1797.793343,1803.272228,0.000444793,0.002205843,0.00953177,45.15249742,-3.704579943,-4.604900365,1832.608122,1767.981893
7/28/2021,1799.5,1799.5,1799.5,1799.5,1799.5,209783,1802.557146,1795.96001,1803.917783,0,0.00204453,0.00950398,45.15249742,-3.812658361,-4.446451964,1829.509204,1774.750806
7/29/2021,1831.199951,1831.199951,1832.599976,1806.099976,1806.599976,30496,1805.457136,1795.016675,1804.95556,0.017615977,0.00729531,0.010075016,60.12363552,-1.325115052,-3.822184582,1831.338512,1778.961488
7/30/2021,1812.599976,1812.599976,1830.5,1808.900024,1828,3100,1806.842843,1796.310006,1805.932227,-0.010157261,0.008334982,0.005610537,51.27906895,-0.844842819,-3.226716229,1829.620313,1784.349682
8/2/2021,1818.099976,1818.099976,1818.699951,1804.800049,1812.400024,1334,1808.714268,1797.983337,1806.878893,0.003034315,0.008378591,0.005571754,53.45928423,-0.020186878,-2.585410359,1828.897965,1788.622031
8/3/2021,1810.099976,1810.099976,1813.5,1806,1812.300049,3341,1809.957118,1798.926668,1807.825559,-0.004400198,0.008572037,0.005496355,49.95744654,-0.012035507,-2.070735389,1828.472997,1790.706995
8/4/2021,1810.5,1810.5,1831.300049,1806.300049,1809.300049,2860,1811.64284,1800.066667,1808.695559,0.000220996,0.008522348,0.005454108,50.13334592,0.026398831,-1.651308545,1828.555766,1791.524226
8/5/2021,1805.099976,1805.099976,1813.699951,1796,1810.800049,588,1812.442836,1800.826664,1809.728893,-0.002982615,0.00865468,0.005468029,47.69608793,-0.374560815,-1.395958999,1828.359752,1792.270241
8/6/2021,1760,1760,1800.099976,1758.400024,1799.800049,859,1806.799979,1800.306665,1810.574448,-0.024984752,0.012963165,0.007145705,33.18542014,-4.282153339,-1.973197867,1836.221213,1779.40878
8/9/2021,1723.400024,1723.400024,1753.800049,1692.599976,1753.5,1621,1791.39999,1798.533333,1810.681114,-0.020795441,0.010661238,0.008064812,26.21519375,-10.21451416,-3.621461125,1850.22467,1757.195326
8/10/2021,1728.800049,1728.800049,1735.199951,1720.099976,1728.599976,1363,1779.428571,1796.840002,1810.70667,0.003133355,0.01148529,0.008085592,28.59811055,-14.3151993,-5.76020876,1856.376347,1742.98365
8/11/2021,1750.400024,1750.400024,1752.199951,1727.300049,1727.300049,542,1769.75715,1796.426668,1810.966671,0.012494201,0.0132414,0.008279201,37.31828245,-15.64177565,-7.736522139,1855.35113,1736.618866
8/12/2021,1749,1749,1752.400024,1745.5,1749.699951,739,1761.028582,1795.7,1811.050004,-0.000799831,0.013353019,0.008231035,37.00284195,-16.61454511,-9.512126732,1852.7823,1731.247693
8/13/2021,1775.199951,1775.199951,1777.300049,1757.400024,1758.300049,436,1755.985718,1795.676664,1811.440004,0.014979961,0.015303692,0.008680469,46.17243564,-15.09732228,-10.62916584,1850.321499,1729.778489
8/16/2021,1786.900024,1786.900024,1787.800049,1771.900024,1776.900024,219,1753.385725,1795.819999,1811.774448,0.006590848,0.015697748,0.008737503,49.69389446,-12.8032265,-11.06397797,1848.628433,1729.291562
8/17/2021,1785,1785,1794.199951,1780,1787.699951,200,1756.957153,1795.536666,1812.237781,-0.001063308,0.011816524,0.008665596,49.13176604,-11.0115212,-11.05348662,1846.49082,1728.839173
8/18/2021,1781.599976,1781.599976,1791.5,1779,1787.800049,263,1765.271432,1794.873332,1812.797781,-0.001904776,0.006825242,0.008627369,48.08358361,-9.753503078,-10.79348991,1845.054046,1728.145942
8/19/2021,1780.199951,1780.199951,1789.300049,1775.5,1780,245,1772.614275,1794.226664,1813.175559,-0.000785824,0.007136096,0.008626734,47.63295343,-8.768408174,-10.38847356,1843.249592,1727.470391
8/20/2021,1781,1781,1787.5,1778.199951,1784.099976,235,1776.9857,1793.259998,1813.687781,0.000449415,0.006197767,0.008551241,47.93324939,-7.832863734,-9.877351597,1841.780304,1726.899676
8/23/2021,1803.199951,1803.199951,1804.800049,1776.800049,1776.800049,32,1784.728551,1793.183329,1814.10778,0.01246488,0.00699851,0.0088617,55.55020425,-5.239687641,-8.949818806,1842.263214,1726.866766
8/24/2021,1805.599976,1805.599976,1805.599976,1801,1801,22,1789.071411,1793.056661,1814.403335,0.001330981,0.005235715,0.008856008,56.29460075,-2.95683049,-7.751221142,1842.944047,1726.795931
8/25/2021,1788.199951,1788.199951,1792.900024,1784,1792,812,1789.257115,1791.853324,1814.612223,-0.0096367,0.006525395,0.008881792,49.78503191,-2.522607257,-6.705498365,1842.01746,1726.592513
